SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Button name;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Statistics group
124;Ice tea Fuze 0,3l;;;item;3.5;;Soft Drinks;Ice tea Fuze 0,3l;0.8100;0.30000;VOLUME;;;LOCAL;default/
126;Apfelsaft - Granini 0,2l;;;item;3.0;;Soft Drinks;Apfelsaft - Granini 0.2l;0.5500;0.20000;VOLUME;;;LOCAL;default/
127;Orangensaft - Granini;;;item;3.0;;Soft Drinks;Orangensaft;0.9100;0.20000;VOLUME;;;LOCAL;default/
128;Stilles Wasser Vio 0,25l;;;item;2.0;;Soft Drinks;Stilles wasser vio 0,25l;0.4000;0.25000;VOLUME;;;LOCAL;default/
129;Sprudel Wasser Vio 0,25l;;;item;2.0;;Soft Drinks;Sprudel Wasser Vio 0,25l;0.4000;0.25000;VOLUME;;;LOCAL;default/
130;Club Mate;;;item;3.0;;Soft Drinks;Club Mate;0.5400;0.33000;VOLUME;;;LOCAL;default/
131;Fanta;;;item;3.0;;Soft Drinks;Fanta;0.7100;0.33000;VOLUME;;;LOCAL;default/
132;Sprite;;;item;3.0;;Soft Drinks;Sprite;0.7100;0.33000;VOLUME;;;LOCAL;default/
133;Ginger Ale 0,2l;;;item;3.0;;Soft Drinks;Ginger Ale 0,2l;0.3520;;;;;LOCAL;default/
134;Large Sparkling Water 0,7l;;;item;5.0;;Soft Drinks;Large Sparkling Water;0.4100;;;;;LOCAL;default/
138;Cointreau;;;item;3.0;;SHOTS;Cointreau;0.5300;;;;;LOCAL;default/
139;Slippery Nipple;;;item;3.0;;SHOTS;Slippery Nipple;0.3533;;;;;LOCAL;default/
140;Kahlua;;;item;2.5;;SHOTS;Kahlua;0.4483;;;;;LOCAL;default/
142;Campari;;;item;2.5;;SHOTS;Campari;0.3824;;;;;LOCAL;default/
143;Jack D Honey;;;item;2.5;;SHOTS;Jack D Honey;0.5643;;;;;LOCAL;default/
144;Tequila;;;item;3.0;;SHOTS;Tequila;0.6563;;;;;LOCAL;default/
145;Jack D Tennessee Fire;;;item;2.5;;SHOTS;Jack D Tennessee Fire;0.5386;;;;;LOCAL;default/
147;Limoncello;;;item;3.0;;SHOTS;Limoncello;0.3410;;;;;LOCAL;default/
148;Mexikaner;;;item;2.5;;SHOTS;Mexikaner;0.1199;;;;;LOCAL;default/
149;Vodka;;;item;2.5;;SHOTS;Vodka;0.3174;;;;;LOCAL;default/
150;Baileys;;;item;2.5;;SHOTS;Bailey´s;0.3532;;;;;LOCAL;default/
151;Jägermeister;;;item;3.0;;SHOTS;Jägermeister;0.3742;;;;;LOCAL;default/
152;Berliner Luft;;;item;2.5;;SHOTS;Berliner Luft;0.2014;;;;;LOCAL;default/
153;Sambuca;;;item;2.5;;SHOTS;Sambuca;0.3534;;;;;LOCAL;default/
154;Jameson - shot;;;item;3.0;;SHOTS;Jameson;0.4880;;;;;LOCAL;default/
155;Disaronno - Amaretto;;;item;2.5;;SHOTS;Disaronno;0.3794;;;;;LOCAL;default/
156;Cosmopolitan;;;item;10.0;;Cocktails;Cosmopolitan;1.6386;;;;;LOCAL;default/
158;Espresso Martini;;;item;10.0;;Cocktails;Espresso Martini;1.6386;;;;;LOCAL;default/
159;Tails Berry Mojito;;;item;10.0;;Cocktails;Tails Berry Mojito;2.3719;;;;;LOCAL;default/
160;Paloma;;;item;10.0;;Cocktails;Paloma;2.3163;;;;;LOCAL;default/
161;Thyme of my Life;;;item;10.0;;Cocktails;Thyme of my Life;1.6540;;;;;LOCAL;default/
163;Negroni;;;item;11.0;;Cocktails;Negroni;1.8294;;;;;LOCAL;default/
164;Off Menu Cocktails;;;item;11.0;;Cocktails;Off Menu Cocktails;;;;;;LOCAL;default/
166;Pina Colada;;;item;10.0;;Cocktails;Pina Colada;1.1931;;;;;LOCAL;default/
167;Slow gin Sour;;;item;11.0;;Cocktails;Slow gin Sour;1.6100;;;;;LOCAL;default/
170;Liquor 43 Mixer;;;item;9.0;;Long Drinks;Liquor 43 Mixer;1.0000;;;;;LOCAL;default/
172;Dark & Stormy;;;item;9.0;;Long Drinks;Dark & Stormy;1.1623;;;;;LOCAL;default/
173;Tennessee Mule;;;item;9.0;;Long Drinks;Tennessee Mule;1.3411;;;;;LOCAL;default/
174;Jack Apple Lemonade;;;item;9.0;;Long Drinks;Jack Apple;1.3251;;;;;LOCAL;default/
175;Jack Rye and Dry;;;item;9.0;;Long Drinks;Jack Rye and Dry;1.7194;;;;;LOCAL;default/
176;London Mule;;;item;9.0;;Long Drinks;London Mule;1.2808;;;;;LOCAL;default/
177;Peach Vodka;;;item;9.0;;Long Drinks;Peach Vodka;0.8709;;;;;LOCAL;default/
178;Tropical Vodka Lemonade;;;item;9.0;;Long Drinks;Tropical Vodka Lemonade;0.9144;;;;;LOCAL;default/
179;Aperol Spritz;;;item;9.0;;Long Drinks;Aperol Spritz;1.0350;;;;;LOCAL;default/
181;Berry Spritz;;;item;9.0;;Long Drinks;Berry Spritz;0.5960;;;;;LOCAL;default/
182;Limoncello Spritz;;;item;9.0;;Long Drinks;Limoncello Spritz;1.0726;;;;;LOCAL;default/
183;Lillet Spritz;;;item;9.0;;Long Drinks;Lillet Spritz;1.1516;;;;;LOCAL;default/
184;Vodka Lemon;;;item;9.0;;Long Drinks;Vodka Lemon;0.8829;;;;;LOCAL;default/
185;Whiskey and Coke;;;item;9.0;;Long Drinks;Whiskey and Coke;1.2240;;;;;LOCAL;default/
186;Whiskey and Ginger Ale;;;item;9.0;;Long Drinks;Whiskey and Ginger Ale;1.3280;;;;;LOCAL;default/
187;Campari Orange;;;item;9.0;;Long Drinks;Campari Orange;1.4308;;;;;LOCAL;default/
188;Cuba Libre;;;item;9.0;;Long Drinks;Cuba Libre;1.1366;;;;;LOCAL;default/
189;Tequila Sunrise;;;item;9.0;;Long Drinks;Tequila Sunrise;1.8121;;;;;LOCAL;default/
190;Moscow Mule;;;item;9.0;;Long Drinks;Moscow Mule;0.8989;;;;;LOCAL;default/
191;Vodka Soda;;;item;8.0;;Long Drinks;Vodka Soda;0.7520;;;;;LOCAL;default/
192;Lady V (Vegan) Pizza;;;combo;11.5;;Pizza;Lady V (Vegan);2.1066;;;;;LOCAL;default/
194;Funghi Pizza;;;combo;11.5;;Pizza;Funghi Pizza;1.8831;;;;;LOCAL;default/
195;The Tower Spicy Pizza;;;combo;13.5;;Pizza;The Tower Spicy Pizza;2.2600;;;;;LOCAL;default/
196;The Jester (Pepperoni) Pizza;;;combo;11.5;;Pizza;The Jester (Pepperoni);2.1123;;;;;LOCAL;default/
197;Queen Margarita Pizza;;;combo;9.5;;Pizza;Queen Margarita Pizza;1.6146;;;;;LOCAL;default/
198;Royal Salami Pizza;;;combo;11.5;;Pizza;Royal Salami Pizza;2.0482;;;;;LOCAL;default/
199;Sir PlantsAlot Pizza;;;combo;11.5;;Pizza;Sir PlantsAlot Pizza;2.3034;;;;;LOCAL;default/
200;Dark Knight Pizza;;;combo;11.5;;Pizza;Dark Knight Pizza;1.8191;;;;;LOCAL;default/
202;Focaccia;;;combo;7.5;;Food;Focaccia;0.5886;;;;;LOCAL;default/
209;Jameson Black 2cl;;;item;5.0;;Whiskey;Jameson Black 2cl;0.8983;;;;;LOCAL;default/
210;Jameson Black 4cl;;;item;9.0;;Whiskey;Jameson Black 4cl;1.7966;;;;;LOCAL;default/
211;Glenmorangie 2cl;;;item;5.0;;Whiskey;Glenmorangie 2cl;0.8069;;;;;LOCAL;default/
212;Glenmorangie 4cl;;;item;9.0;;Whiskey;Glenmorangie 4cl;1.6137;;;;;LOCAL;default/
213;Laphroiag 2cl;;;item;6.0;;Whiskey;Laphroiag 2cl;1.0526;;;;;LOCAL;default/
214;Laphroiag 4cl;;;item;9.5;;Whiskey;Laphroiag 4cl;2.1051;;;;;LOCAL;default/
217;Glenfiddich 2cl;;;item;5.0;;Whiskey;Glenfiddich 2cl;0.8531;;;;;LOCAL;default/
218;Glenfiddich 4cl;;;item;9.0;;Whiskey;Glenfiddich 4cl;1.7063;;;;;LOCAL;default/
219;Glenkinchie 2cl;;;item;5.0;;Whiskey;Glenkinchie 2cl;1.0337;;;;;LOCAL;default/
220;Glenkinchie 4cl;;;item;9.0;;Whiskey;Glenkinchie 4cl;2.0674;;;;;LOCAL;default/
221;Talisker 2cl;;;item;4.5;;Whiskey;Talisker 2cl;0.9614;;;;;LOCAL;default/
222;Talisker 4cl;;;item;8.0;;Whiskey;Talisker 4cl;1.9229;;;;;LOCAL;default/
223;Lagavulin 2cl;;;item;7.0;;Whiskey;Lagavulin 2cl;1.6400;;;;;LOCAL;default/
224;Lagavulin 4cl;;;item;10.0;;Whiskey;Lagavulin 4cl;3.2700;;;;;LOCAL;default/
225;Jack Daniels 2cl;;;item;2.5;;Whiskey;Jack Daniels 2cl;0.5178;2.00000;VOLUME;;;LOCAL;default/
