SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Menu/Screen;Button name;Button color;Barcode;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Docket name;Course;Statistics group;Production instruction
124;Ice tea Fuze 0,3l;;;item;3.5;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Ice tea Fuze 0,3l;BLUE;54021754,90418532;0.8100;0.30000;VOLUME;;;LOCAL;;;default/;
125;Vio Schorle 0,3l;;;item;3.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Vio Schorle 0,3l;BLUE;90491146,54008649,90490712,90491139;0.8500;0.30000;VOLUME;;;LOCAL;;;default/;
126;Apfelsaft - Granini;;;item;3.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Apfelsaft;ORANGE;4002160045026;0.5500;0.20000;VOLUME;;;LOCAL;;;default/;
127;Orangensaft - Granini;;;item;3.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Orangensaft;YELLOW;4002160045194;0.9100;0.20000;VOLUME;;;LOCAL;;;default/;
128;Stilles wasser vio 0,25l;;;item;2.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Stilles wasser vio 0,25l;BLUE;;0.4000;0.25000;VOLUME;;;LOCAL;;;default/;
129;Sprudel Wasser vio 0,25l;;;item;2.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Sprudel Wasser vio 0,25l;BLUE;;0.4000;0.25000;VOLUME;;;LOCAL;;;default/;
130;Club Mate;;;item;3.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Club Mate;BLUE;4029764001821;0.5400;0.33000;VOLUME;;;LOCAL;;;default/;
131;Fanta;;;item;3.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Fanta;YELLOW;87126860;0.7100;0.33000;VOLUME;;;LOCAL;;;default/;
132;Sprite;;;item;3.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Sprite;GREEN;50112135;0.7100;0.33000;VOLUME;;;LOCAL;;;default/;
133;Ginger Ale 0,2l;;;item;3.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Ginger Ale 0,2l;ORANGE;;0.3520;;;;;LOCAL;;;default/;
134;Large Sparkling Water;;;item;5.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Large Sparkling Water;BLUE;;0.4100;;;;;LOCAL;;;default/;
138;Cointreau;;;item;3.0;;SHOTS;Menu/Shots,Order Anywhere/Shots;Cointreau;BLUE;;0.5300;;;;;LOCAL;;;default/;
139;Slippery Nipple;;;item;3.0;;SHOTS;Menu/Shots,Order Anywhere/Shots;Slippery Nipple;BLUE;;0.3533;;;;;LOCAL;;;default/;
140;Kahlua;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Kahlua;BLUE;;0.4483;;;;;LOCAL;;;default/;
142;Campari;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Campari;BLUE;;0.3824;;;;;LOCAL;;;default/;
143;Jack D Honey;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Jack D Honey;BLUE;;0.5643;;;;;LOCAL;;;default/;
144;Tequila;;;item;3.0;;SHOTS;Menu/Shots,Order Anywhere/Shots;Tequila;BLUE;;0.6563;;;;;LOCAL;;;default/;
145;Jack D Tennessee Fire;;;item;2.5;;SHOTS;Menu/Shots,Order Anywhere/Shots;Jack D Tennessee Fire;BLUE;;0.5386;;;;;LOCAL;;;default/;
147;Limoncello;;;item;3.0;;SHOTS;Menu/Shots,Order Anywhere/Shots;Limoncello;BLUE;;0.3410;;;;;LOCAL;;;default/;
